,Movie,Production Budget,Domestic Gross,Worldwide Gross
2721,MERCY STREETS (2000),600000.0,173599.0,173599.0
2722,MESSAGE IN A BOTTLE (1999),30000000.0,52880016.0,52880016.0
2723,METALLICA THROUGH THE NEVER (2013),18000000.0,3419967.0,9082906.0
2724,METEOR (1979),16000000.0,8400000.0,8400000.0
2725,METROPOLIS (2002),15000000.0,673414.0,1405032.0
2726,METROPOLITAN (1990),430000.0,2938000.0,2938000.0
2727,MI AMERICA (2016),2100000.0,3330.0,3330.0
2728,MIAMI VICE (2006),135000000.0,63478838.0,164920076.0
2729,MICHAEL CLAYTON (2007),21500000.0,49033882.0,92987651.0
2730,MICHAEL COLLINS (1996),25000000.0,11092559.0,27572844.0
2731,MICHAEL JACKSON'S THIS IS IT (2009),60000000.0,72091016.0,252091016.0
2732,MICHAEL JORDAN TO THE MAX (2000),7000000.0,18642318.0,19276267.0
2733,MICKEY BLUE EYES (1999),40000000.0,33864342.0,53864342.0
2734,MICMACS (2010),42000000.0,1259693.0,18821576.0
2735,MIDDLE MEN (2010),20000000.0,754301.0,754301.0
2736,MIDDLE OF NOWHERE (2012),200000.0,236806.0,236806.0
2737,MIDDLE SCHOOL THE WORST YEARS OF MY LIFE (2016),8500000.0,20007149.0,23311293.0
2738,MIDNIGHT COWBOY (1969),3600000.0,44785053.0,44796329.0
2739,MIDNIGHT IN PARIS (2011),30000000.0,56816662.0,162275213.0
2740,MIDNIGHT IN THE GARDEN OF GOOD AND EVIL (1997),35000000.0,25078937.0,25078937.0
2741,MIDNIGHT MEAT TRAIN (2008),15000000.0,73548.0,1590246.0
2742,MIDNIGHT RUN (1988),30000000.0,38413606.0,81613606.0
2743,MIDNIGHT SPECIAL (2016),18000000.0,3712282.0,7680250.0
2744,MIDNIGHT SUN (2018),2800000.0,9561064.0,26952508.0
2745,MIDSOMMAR (2019),9000000.0,27426363.0,46757893.0
2746,MIDWAY (2019),100000000.0,56846802.0,126815030.0
2747,MIGHTY JOE YOUNG (1998),80000000.0,50632037.0,50632037.0
2748,MIKE AND DAVE NEED WEDDING DATES (2016),33000000.0,46009673.0,75898100.0
